date,min_temperature
2017-09-28,0.7333333333333334
2017-09-29,0.5333333333333333
2017-09-30,7.099999999999999
2017-10-01,6.533333333333334
2017-10-02,4.233333333333333
2017-10-03,4.633333333333333
2017-10-04,7.666666666666667
2017-10-05,4.8999999999999995
2017-10-06,4.933333333333334
2017-10-07,5.800000000000001
2017-10-08,7.433333333333334
2017-10-09,6.166666666666667
2017-10-10,4.366666666666667
2017-10-11,5.833333333333333
2017-10-12,4.8
2017-10-13,5.433333333333334
2017-10-14,4.6
2017-10-15,3.466666666666667
2017-10-16,4.0
2017-10-17,3.766666666666667
2017-10-18,2.166666666666667
2017-10-19,-0.5333333333333333
2017-10-20,-2.9333333333333336
2017-10-21,-4.3
2017-10-22,-3.5
2017-10-23,-4.2
2017-10-24,-4.0
2017-10-25,-5.666666666666667
2017-10-26,-1.1333333333333333
2017-10-27,-0.6
2017-10-28,-0.6999999999999998
2017-10-29,1.6333333333333335
2017-10-30,1.3666666666666665
2017-10-31,-2.6333333333333333
2017-11-01,-2.1999999999999997
2017-11-02,-0.4000000000000001
2017-11-03,-1.5333333333333332
2017-11-04,-0.8666666666666667
2017-11-05,4.433333333333334
2017-11-06,1.3666666666666665
2017-11-07,-1.2
2017-11-08,-2.3333333333333335
2017-11-09,0.7666666666666666
2017-11-10,2.4
2017-11-11,2.0666666666666664
2017-11-12,1.8999999999999997
2017-11-13,1.1666666666666667
2017-11-14,0.2333333333333333
2017-11-29,0.1
2017-11-30,-1.5333333333333332
2017-12-01,-0.1
2017-12-02,-0.6333333333333333
2017-12-03,-1.0666666666666669
2017-12-04,-1.3
2017-12-05,-1.8333333333333333
2017-12-06,-3.1
2017-12-07,-5.166666666666666
2017-12-08,0.0333333333333333
2017-12-09,-0.8666666666666667
2017-12-10,-2.166666666666667
2017-12-11,-4.366666666666667
2017-12-12,-2.0
2017-12-13,-1.5333333333333332
2017-12-14,-2.9
2017-12-15,-0.1666666666666666
2017-12-16,-0.8000000000000002
2017-12-17,-1.0
2017-12-18,-2.6999999999999997
2017-12-19,-2.2666666666666666
2017-12-20,-3.3666666666666667
2017-12-21,-2.766666666666667
2017-12-22,-1.0333333333333334
2017-12-23,-2.6
2017-12-24,-3.5666666666666664
2017-12-25,-5.800000000000001
2017-12-26,1.3999999999999997
2017-12-27,-1.0666666666666669
2017-12-28,0.1666666666666666
2017-12-29,1.7
2017-12-30,-2.1
2017-12-31,-1.7666666666666666
2018-01-01,-0.0333333333333333
2018-01-02,0.7666666666666666
2018-01-03,0.3
2018-01-04,1.1
2018-01-05,2.6
2018-01-06,-0.0333333333333333
2018-01-07,-2.766666666666667
2018-01-08,-4.3999999999999995
2018-01-09,-1.5666666666666669
2018-01-10,-2.6
2018-01-11,-3.0666666666666664
2018-01-12,-10.233333333333333
2018-01-13,-10.333333333333334
2018-01-14,-10.266666666666667
2018-01-15,-10.766666666666666
2018-01-16,-11.9
2018-01-17,-9.133333333333333
2018-01-18,-4.6
2018-01-19,-3.2999999999999994
2018-01-20,-5.5
2018-01-21,-6.933333333333334
2018-01-22,-7.766666666666667
2018-01-23,-8.9
2018-01-24,-9.166666666666666
2018-01-25,-1.1666666666666667
2018-01-26,0.5666666666666667
2018-01-27,-0.7333333333333334
2018-01-28,-0.5666666666666667
2018-01-29,-0.4666666666666666
2018-01-30,-4.8
2018-01-31,-5.599999999999999
2018-02-01,-3.9
2018-02-02,-0.8000000000000002
2018-02-03,-3.5
2018-02-04,-10.533333333333331
2018-02-05,-9.066666666666668
2018-02-06,-9.266666666666667
2018-02-07,-8.733333333333333
2018-02-08,-12.066666666666668
2018-02-09,-7.099999999999999
2018-02-10,-6.8
2018-02-11,-5.166666666666667
2018-02-12,-5.066666666666666
2018-02-13,-3.6333333333333337
2018-02-14,-12.8
2018-02-15,-14.633333333333333
2018-02-16,-10.1
2018-02-17,-6.133333333333333
2018-02-18,-7.433333333333334
2018-02-19,-7.900000000000001
2018-02-20,-14.5
2018-02-21,-20.666666666666668
2018-02-22,-20.5
2018-02-23,-20.433333333333337
2018-02-24,-20.23333333333333
2018-02-25,-20.299999999999997
2018-02-26,-20.26666666666667
2018-02-27,-21.366666666666664
2018-02-28,-22.76666666666667
2018-03-01,-21.666666666666668
2018-03-02,-15.833333333333334
2018-03-03,-17.033333333333335
2018-03-04,-18.666666666666668
2018-03-05,-19.366666666666664
2018-03-06,-9.833333333333334
2018-03-07,-12.199999999999998
2018-03-08,-3.6
2018-03-09,-1.8333333333333333
2018-03-10,-1.7333333333333334
2018-03-11,-3.5666666666666664
2018-03-12,-4.2
2018-03-13,1.5666666666666669
2018-03-14,-3.233333333333333
2018-03-15,-11.4
2018-03-16,-15.199999999999998
2018-03-17,-15.5
2018-03-18,-9.866666666666667
2018-03-19,-1.6666666666666667
2018-03-20,-5.166666666666667
2018-03-21,-7.900000000000001
2018-03-22,-4.666666666666667
2018-03-23,-4.133333333333333
2018-03-24,-4.266666666666667
2018-03-25,-0.8666666666666667
2018-03-26,-10.166666666666666
2018-03-27,-11.9
2018-03-28,-13.6
2018-03-29,-10.2
2018-03-30,-8.866666666666667
2018-03-31,-2.3
2018-04-01,-0.3666666666666667
2018-04-02,-0.0333333333333333
2018-04-03,-4.066666666666666
2018-04-04,-3.1666666666666665
2018-04-05,2.033333333333333
2018-04-06,0.3333333333333333
2018-04-07,-0.2666666666666666
2018-04-08,-0.6
2018-04-09,3.2999999999999994
2018-04-10,-2.3666666666666667
2018-04-11,-3.766666666666667
2018-04-12,-5.1
2018-04-13,-4.133333333333334
2018-04-14,-2.4333333333333336
2018-04-15,-0.0666666666666666
2018-04-16,5.366666666666667
2018-04-17,4.3
2018-04-18,4.233333333333333
